OBJECTID,PA_MCPI,POINT_X,POINT_Y,POINT_X_SP,POINT_Y_SP
163,003355176000,-77.3429941,39.0471389,11811510.863125,7066473.40583333
164,003355890000,-77.34274679,39.0475986,11811578.9852083,7066641.7075
165,003355906000,-77.3430471,39.04512739,11811505.0445833,7065740.64854167
166,003355982000,-77.34269495,39.0473192,11811594.99125,7066540.13916667
167,003356988000,-77.34237989,39.0474612,11811683.8108333,7066592.98229167
168,003358656000,-77.3417706,39.04651536,11811861.1885417,7066250.700625
169,003359329000,-77.34167203,39.04582259,11811892.36625,7065998.75479166
170,003360317000,-77.34121917,39.04549771,11812022.4683333,7065882.06291667
171,003361250000,-77.34087685,39.04638627,11812115.5991667,7066206.89104167
172,003361718000,-77.34073196,39.04549897,11812160.82875,7065884.26833333
173,003362748000,-77.34032208,39.04628471,11812273.6160417,7066171.89375
174,003363161000,-77.34008459,39.04662684,11812339.4870833,7066297.34666666
175,003363397000,-77.34013878,39.04774494,11812318.9529167,7066704.35062499
176,003363883000,-77.33982935,39.04742645,11812408.2927083,7066589.470625
177,003364268000,-77.33980882,39.04690232,11812416.53625,7066398.66291666
178,003365475000,-77.3393713,39.04711251,11812539.820625,7066476.78104167
179,003366391000,-77.33904091,39.04753209,11812631.7141667,7066630.77625
180,003450215000,-77.34471559,39.04822551,11811016.999375,7066862.981875
181,003450287000,-77.34471849,39.05021702,11811007.04875,7067588.25604166
182,003450305000,-77.34469209,39.04797722,11811024.8108333,7066772.63875
183,003450329000,-77.34468408,39.04863651,11811024.0625,7067012.77604167
184,003450355000,-77.34467034,39.04932389,11811024.8139583,7067263.16
185,003450397000,-77.34462363,39.05040941,11811033.1035417,7067658.66187499
186,003450974000,-77.34431022,39.04980162,11811124.8916667,7067438.43083334
187,003451810000,-77.34416133,39.04810066,11811174.9725,7066819.49124999
188,003451819000,-77.34416857,39.04833064,11811171.8627083,7066903.22416666
189,003451853000,-77.34412375,39.04926459,11811180.3079167,7067243.5175
190,003452027000,-77.34409593,39.04855922,11811191.441875,7066986.72875001
191,003452036000,-77.34405987,39.04881309,11811200.51875,7067079.315625
192,003452102000,-77.34407942,39.04787394,11811199.2729167,7066737.21708333
193,003452161000,-77.34404169,39.04951132,11811202.4808333,7067333.66854167
194,003452678000,-77.34387507,39.04993163,11811247.8685417,7067487.33520833
195,003452752000,-77.34382186,39.04924347,11811266.1366667,7067236.90416667
196,003452910000,-77.34380459,39.04810955,11811276.2422917,7066824.005
197,003452920000,-77.3437598,39.04841309,11811287.5670833,7066934.71187501
198,003453035000,-77.34374649,39.04878635,11811289.635,7067070.69541667
199,003453069000,-77.34370123,39.04969403,11811298.3260417,7067401.42541666
200,003453185000,-77.3436375,39.05014237,11811314.365,7067564.93583333
201,003453361000,-77.34357677,39.04949419,11811334.5852083,7067329.09208333
202,003453604000,-77.34352582,39.04790891,11811356.328125,7066751.93333334
203,003453653000,-77.34351016,39.04926045,11811354.5729167,7067244.20583333
204,003453827000,-77.34343554,39.0485652,11811378.95375,7066991.27
205,003453838000,-77.34342955,39.04885258,11811379.3364583,7067095.95083334
206,003454285000,-77.34325678,39.0501146,11811422.6089583,7067556.18333334
207,003454708000,-77.34316084,39.04802517,11811459.445,7066795.57833333
