OBJECTID,SOILS_,SOILS_ID,SO_SOIL,SO_SLOPE,SO_UPD_DATE,SHAPE_Length,SHAPE_Area,SL_SOIL,SL_SOIL_NAME,SL_SLOPE_PERC,SL_FLOOD_POTENTIAL,SL_HGRP_NAME,SL_CWSD_POTENTIAL,SL_CWSD_POTENTIAL_DESC,SL_CWSD_LIMITATIONS,SL_SOIL_DEPTH,SL_STDF_POTENTIAL,SL_STDF_LIMITATIONS,SL_AG_POTENTIAL,SL_USDA_LANDUSE1,SL_USDA_LANDUSE2,SL_ASSOCIATION_NAME,SL_HYDRIC,SL_KARST,SL_LOW_BEARING_STRENGTH,SL_WATER_TABLE,SL_GWR_POTENTIAL,SL_SLIPPAGE_POTENTIAL,SL_LID_INFILTRATION_POTENTIAL,SL_SHRINK_SWELL_POTENTIAL,SL_ONISTE_SEWAGE_DISPOSAL,SL_ERODABILITY,SL_UPD_DATE,agstype,SOIL_CLASS
31,4317,4144,02A,A,2005/06/16 04:00:00+00,2685.98569,91312.32472,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
32,4324,4151,02A,A,2005/06/16 04:00:00+00,2671.86897,136353.2503,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
33,4332,4158,02A,A,2005/06/16 04:00:00+00,1389.71777,52678.5799,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
34,4338,4164,02A,A,2005/06/16 04:00:00+00,4837.300647,302920.048,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
35,4341,4167,02A,A,2005/06/16 04:00:00+00,6064.77031,370815.5378,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
36,4405,4222,02A,A,2005/06/16 04:00:00+00,4780.624008,348442.7801,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
37,4522,4322,02A,A,2005/06/16 04:00:00+00,1347.423563,67519.41975,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
38,4689,4478,02A,A,2005/06/16 04:00:00+00,1566.830934,77763.69243,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
39,4691,4480,02A,A,2005/06/16 04:00:00+00,7082.645445,504259.7329,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
40,4796,4578,02A,A,2005/06/16 04:00:00+00,4003.564944,339505.0536,02A,Codorus silt loam,0-2,occasional flooding,Soils with Slow Infiltration Rate,Very Poor Potential,"severe problems, some not correctable, and others requiring extensive and costly engineering solutions which may be unsatisfactory",Flood Plain,depth to hard bedrock is generally greater than 6',Very Poor Potential,flooding potential,Secondary Cropland,3W,,MONGLE-CODORUS-HATBORO,Inclusions,No,Yes,Seasonally High (Apparent),Low To Moderate Infiltration / Recharge,No,Fair,Low,Shallow-placed Drip / Alternative Drainfields,Moderate,2007/07/16 19:55:31+00,02A,II
