OBJECTID,PA_TYPE,PA_UNITS,PA_PLAT_NUM,PA_PLAT_LOT,PA_LEGAL_ACRE,PA_SUBD_NAME,PA_SUBD_PHASE,PA_SUBD_SECT,PA_SUBD_BLOCK,PA_LEGAL_SQFT,PA_UPD_DATE,PA_MCPI,SHAPE_Length,SHAPE_Area
418,P,0, , ,0.289,EXETER, ,3, ,12632.4,,1.87E+11,457.9467513,12653.76376
419,P,0, , ,0.409,HERSPERGER DIVISION, , , ,17859.6,,5.84E+11,650.7205581,19257.66576
420,P,0, , ,0.18,EXETER, ,5, ,7840.8,,1.87E+11,354.0008156,8076.429765
421,P,0, , ,1.37,EXETER, ,3, ,59677.2,,1.87E+11,2131.213464,59614.22834
422,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,362.3404911,7018.088805
423,P,0, , ,0.17,EXETER, ,5, ,7405.2,,1.87E+11,357.069146,7321.566939
424,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,347.9532447,7026.597517
425,P,0, , ,0.17,EXETER, ,5, ,7405.2,,1.87E+11,363.3299263,7321.133006
426,P,0, , ,5.09,FRAZER DIVISION, , , ,221720.4,,4.16E+11,1888.530429,221855.8115
427,P,0, , ,3.38,EXETER, ,9, ,147232.8,,2.30E+11,3943.413622,149787.3527
428,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,338.0346331,6763.688488
429,P,0, , ,2.23,FARMINGTON ON THE GREEN, , , ,97138.8,1899/12/31 05:00:00+00,5.24E+11,1383.434274,96449.77453
430,P,0, , ,0.17,EXETER, ,5, ,7405.2,,1.87E+11,354.3351515,7547.382075
431,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,340.3468702,6931.675773
432,P,0, , ,0.18,EXETER, ,5, ,7840.8,,1.87E+11,346.2491664,7858.989819
433,P,0, , ,2.5, , , , ,108900,,6.08E+11,2070.617091,108934.3733
434,P,0, , ,0.509, , , , ,22215.6,,6.08E+11,607.9682365,22152.29008
435,P,0, , ,0.17,EXETER, ,5, ,7405.2,,1.87E+11,350.8892002,7310.892469
436,P,0, , ,0.14,TOWN OF PURCELLVILLE, , ,2,6098.4,,4.88E+11,341.2281454,6265.308115
437,P,0, , ,12.84, , , , ,559310.4,,6.08E+11,3143.746915,567622.6088
438,P,0, , ,35.88, , , , ,1562932.8,,6.70E+11,5915.495142,1579422.504
439,P,0, , ,10, , , , ,435600,,5.03E+11,3498.143155,433471.0252
440,P,0, , ,37.939, , , , ,1652666.4,,5.03E+11,5103.016088,1636182.015
441,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,340.490068,6919.585908
442,P,0, , ,4.469,IVANDALE FLORAL COMPANY, , , ,194713.2,,4.17E+11,1893.215449,217657.2372
443,P,0, , ,0.18,EXETER, ,7, ,7840.8,,1.87E+11,385.5438675,7988.301189
444,P,0, , ,0.14,EXETER, ,7, ,6098.4,,1.87E+11,328.8341269,6128.884885
445,P,0, , ,5.389, , , , ,234788.4,,6.29E+11,2286.289229,233449.2747
446,P,0, , ,0.15,EXETER, ,5, ,6534,,1.87E+11,331.8161235,6609.424737
447,P,0, , ,0.159,EXETER, ,7, ,6969.6,,1.87E+11,352.9066723,7062.254421
448,P,0, , ,4.079,EXETER, ,9, ,177724.8,,2.30E+11,8559.092613,178158.0832
449,P,0, , ,0.14,EXETER, ,7, ,6098.4,,1.87E+11,330.4693341,6255.118872
450,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,348.5989424,7138.613597
451,P,0, , ,0.159,EXETER, ,5, ,6969.6,,1.87E+11,359.6879974,7089.097764
452,P,0, , ,0.14,EXETER, ,5, ,6098.4,,1.87E+11,321.6891613,5980.125834
453,P,0, , ,0.2,EXETER, ,5, ,8712,,1.87E+11,398.1925465,8768.748143
454,P,0, , ,0.209,TAVISTOCK FARMS, ,5, ,9147.6,,1.90E+11,386.3964651,9129.507819
455,P,0, , ,0.289,PROSPECT HILLS, ,1B, ,12632.4,,2.31E+11,451.1995526,12800.0176
456,P,0, , ,0.239,PROSPECT HILLS, ,2A, ,10454.4,,2.31E+11,432.1521915,10577.99333
457,P,0, , ,0.25,PROSPECT HILLS, ,1B, ,10890,,2.31E+11,410.3365736,10691.89948
458,P,0, , ,0.289,PROSPECT HILLS, ,1D,A,12632.4,,2.31E+11,555.3205203,17591.16447
459,P,0, , ,0.2,PROSPECT HILLS, ,2A, ,8712,,2.31E+11,400.0152908,9959.945054
460,P,0, , ,0.36,PROSPECT HILLS, ,1D,A,15681.6,,2.31E+11,529.6616456,15758.61
461,P,0, , ,0.31,PROSPECT HILLS, ,3A, ,13503.6,,2.31E+11,498.7558791,13647.5701
462,P,0, , ,0.3,PROSPECT HILLS, ,3A, ,13068,,2.31E+11,469.8497672,12707.42107
463,P,0, , ,0.2,PROSPECT HILLS, ,1B,B,8712,,2.31E+11,393.8965961,9900.714343
